text,label
respon okbrgnya sesuai gambar brg bagus kuat tebaltq gan,1
n,1
barang sampai dgn selamatdan sesuai dgn gambar thanks ya gan,1
sesuai dg picture dan produknya bagus,1
thanks barang sudah sampai,1
goood qualitas sesuai harga,1
cepat banget sampainya barangnya ok,1
terimakasih barangnya bagus,1
barang usdah sampai dan sesuai pesanan terimakasih,1
orderannya sudah sampaiterima kasih,1
barang sdh diterima dengan kondisi baik kualitas sangat memuaskan selanjutnya biarkan penampakan bintang yg berbicaratq,1
barang tidak lengkap tidak sesuwai jawaban diskusi,0
barang sudh sampai dngn slamat respon cepet pengiriman cept barang bagus harga bagus big thanks gan,1
tidak sesuai supercopy,1
cocok sbgai koleksi jam tangan tampilannya sesuai dgn gambar simple dan elegan,1
bagus sesuai deskripsi seller sangat fast respon pengiriman cepat,1
pengiriman cepat barang sesuai pesanan thanks,1
sayang sekali pengirimannya dalam kondisi dilipat jd ada bekas lipatannya,1
tks gaaaaaaaaaaaaaaaaaaaaaaaaaaan,1
barang mantap sesuai pesananpengiriman juga cepatmakasih,1
barang sudah di terima terima kasih,1
thanks barang sudah sampai mantap,1
sesuai deskripsi pengiriman lancar dapat bonus pentil buat memompa,1
barang aman dan sampai pada waktunya terima kasih gan berfungsi dengan baik sesuai dan real thanks fast respons nya,1
pengiriman cepat produk sesuai dengan deskripsi dan berfungsi,1
mantapppppppppppppppppppppppppppppp,1
mantabbbbb kualitas tidak mengecewakan,1
barang sudah diterima fast respon thx,1
barang oke seller oke cuma lama di jne pesan jne yes sampe hari kemdian,1
barang mulussemoga awet,1
lumayan tapi belum di coba,1
casanya masa beda terus meletuk lgi bikin listrik turun,0
baterai sesuai deskripsi semoga awet seperti original,1
terima kasih barang sudah diterima dan ditest bisaada lampu n saklarnya yg nyala,1
bahannya nyaman di kaki bayi kualitas oke thank you,1
sesuai deskripsi dan gambar puas terimakasihh,1
mantap sampai saaat ini berfungsi dengan baik semoga awet sampe tahun ke depan hehehe,1
sip mantab sesuai pesanan,1
pas mantapbrg mantapppppppppp,1
gan baterai tidak mengisi untuk retur atau garansi gimana caranya,0
barang sudah saya terima,1
belum dipakai jadi belum bisa komen soal kualitas sepertinya original shipping cepat recommended seller,1
barang sudah diterima dengan baik pengiriman perlu ditingkatkan overall baik,1
barang sesuai packing ok,1
pengiriman cepat dan barang sesuai specs,1
pengiriman sesuai apa yg diminta pesen siang sore langsung sampe best seller ever,1
akurasi kurang kl bisa jenis pengiriman di tambah misal jnt dll,0
barang cepat di kirim dan sesuai deskripsi langsung di coba sangat berguna sekali,1
tkssdh sampe respon cepetsemoga awet,1
mantaaap barangnya,1
respon cepat ramah barang cepat dikirim kualitas wokei harga cocok,1
pesanan sdh sampe tp pesan warna biru dikirim hitam harap dibaca lagi orderan konsumen,1
pengiriman barang cepat sesuai dengan harapan,1
kecepatan pengiriman okerespon penjual cepat,1
orang counter tukang jok kuli bangunan tukang cilok tukang sate driver grab supir go car dll wajib beli ini pekerjaan jd mudah,1
good barang sesuai dan cepat sampai terima kasih,1
terimakasih brg sampai dengan cepat quick respon luar biasa gak nyesel beli di lapak ini,1
bagus jamnya terima kasih btw ini ada garansinya,1
thanks gan sudah sampai,1
sudah terimabararang okesesuai lahmantapmaju terussss,1
kamus sudah diterima kiriman cepat berfungsi dengan baik hanya materialkurang rapii,0
suka sekali sama produk ny bagus,1
thanks barangnya sesuai orderan,1
good product thank you,1
respon pnjual cpt brng udh smpe dan packing nya rapihproduk nya bgs trmksi,1
mantap deh bro next order ya,1
respon lumayan cepat barang oke gampang dipake,1
barang sudah sampai bagusga ada cacatpacking rapiestimasi juga sesuai next order,1
terima kasih kak kualitas oke banget,1
produk tiba lebih cepat dari estimasi amp berfungsi dgn baik,1
ush hub telah diterima dgn baik dan bagus thanks gan,1
belum di coba barang datang dengan keadaan baik,1
brngnya dah sampailebih lama dari yg biasanya by gosend biasanya paling telat jamini jam byr jam sampainyabarangnya bagus walau ada lemnya sedikit terbukatpi smuanya bgssesuai hargalah,0
thankyu gannnn,1
barangnya bagus dan sesuai gambar belum di buka tapi cukup meyakinkan barang sampainya lama perkiraanku jumat packaging kurang rapi tapi gak masalah sih kalo buat hardware kayak gini,1
maaf lambat konfirmasi gan barang udah diterima cepat dan aman trimakasih,1
tepat waktu kualitas terjamin cepat respon,1
barang sesuai deskripsirespon dan proses cepat terima kasih,1
puas sekali sesuai deskripsi no tipu tipu,1
thanks ya,1
diterima dengan aman dan baik,1
barang bagusss respon penjual juga cepat,1
